Year,2035_RenewableShare,2035_NonRenewableShare,2035_TotalImpact,2045_RenewableShare,2045_NonRenewableShare,2045_TotalImpact,2055_RenewableShare,2055_NonRenewableShare,2055_TotalImpact,2065_RenewableShare,2065_NonRenewableShare,2065_TotalImpact,2075_RenewableShare,2075_NonRenewableShare,2075_TotalImpact
2052,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.7458361776329119,0.2541638223670881,0.41618027248968237,0.6239675773069636,0.3760324226930364,0.5766622393672617,0.5508464171113946,0.4491535828886054,0.6729514194938094
2053,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.763890785088608,0.23610921491139203,0.39240516628559646,0.6375085328987355,0.36249146710126445,0.5588309097141975,0.5616791815848121,0.4383208184151879,0.658686355771358
2054,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.781945392544304,0.21805460745569605,0.36863006008151067,0.6510494884905076,0.3489505115094924,0.5409995800611331,0.5725119460582297,0.42748805394177025,0.6444212920489064
2055,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.6645904440822796,0.33540955591772037,0.5231682504080687,0.5833447105316474,0.4166552894683526,0.630156228326455
2056,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.6781313996740518,0.3218686003259482,0.5053369207550041,0.5941774750050651,0.4058225249949349,0.6158911646040033
2057,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.6916723552658237,0.3083276447341763,0.4875055911019399,0.6050102394784826,0.39498976052151735,0.601626100881552
2058,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.7052133108575958,0.29478668914240425,0.46967426144887553,0.6158430039519003,0.3841569960480997,0.5873610371591005
2059,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.7187542664493678,0.2812457335506322,0.45184293179581114,0.6266757684253179,0.3733242315746821,0.573095973436649
2060,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.7322952220411398,0.26770477795886016,0.43401160214274676,0.6375085328987355,0.36249146710126445,0.5588309097141975
2061,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.7458361776329119,0.2541638223670881,0.41618027248968237,0.6483412973721532,0.3516587026278468,0.5445658459917458
